_key,listing_name,listing_description,listing_location,listing_num_reviews,listing_stars,guests,bedrooms,baths,weekday_rate,weekendrate,photos,favorite_photo
990,alias quia quo,Ad nulla debitis explicabo expedita iure ipsum voluptate repellat laudantium.,"West Marinabury, FL",643,1,2,1,0.5,1297,1945.5,"https://sdcimages.s3-us-west-1.amazonaws.com/Images/395_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/729_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/562_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/320_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/674_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/741_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/578_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/259_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/856_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/516_.jpg",https://sdcimages.s3-us-west-1.amazonaws.com/Images/674_.jpg
989,pariatur tempore dolor,Dolorem nihil suscipit voluptatibus tempora.,"Wisokytown, AR",541,3.4,20,10,5,206,309,"https://sdcimages.s3-us-west-1.amazonaws.com/Images/819_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/987_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/877_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/356_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/962_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/594_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/118_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/358_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/226_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/189_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/923_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/680_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/176_.jpg",https://sdcimages.s3-us-west-1.amazonaws.com/Images/594_.jpg
988,cum dolore dolorum,Veritatis atque autem.,"Eulaliaborough, CA",321,3.2,8,4,1.5,96,144,"https://sdcimages.s3-us-west-1.amazonaws.com/Images/805_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/198_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/987_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/985_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/731_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/152_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/801_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/662_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/974_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/735_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/972_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/710_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/417_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/16_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/306_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/716_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/120_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/973_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/292_.jpg",https://sdcimages.s3-us-west-1.amazonaws.com/Images/417_.jpg
987,non est animi,Voluptas facere incidunt aut.,"Dooleyport, RI",664,3.9,14,7,3,764,1146,"https://sdcimages.s3-us-west-1.amazonaws.com/Images/735_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/406_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/835_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/730_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/898_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/216_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/73_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/607_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/557_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/12_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/985_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/214_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/444_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/910_.jpg",https://sdcimages.s3-us-west-1.amazonaws.com/Images/12_.jpg
986,et iure odio,Dolores a soluta dignissimos.,"Trudieside, AR",747,2.8,6,3,0.5,1498,2247,"https://sdcimages.s3-us-west-1.amazonaws.com/Images/31_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/225_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/507_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/935_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/102_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/298_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/543_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/744_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/661_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/47_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/313_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/677_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/721_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/113_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/900_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/244_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/3_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/780_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/601_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/181_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/878_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/948_.jpg",https://sdcimages.s3-us-west-1.amazonaws.com/Images/744_.jpg
985,et omnis sunt,Deserunt dolor nihil illo nihil et nihil.,"Anaisport, IA",749,3.7,16,8,2,1402,2103,"https://sdcimages.s3-us-west-1.amazonaws.com/Images/452_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/436_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/671_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/819_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/855_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/460_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/920_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/351_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/759_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/682_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/70_.jpg",https://sdcimages.s3-us-west-1.amazonaws.com/Images/70_.jpg
984,impedit quod tempore,A minima harum nemo quo.,"West Maye, PA",482,1.8,8,4,2,1370,2055,"https://sdcimages.s3-us-west-1.amazonaws.com/Images/594_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/57_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/888_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/796_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/324_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/27_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/428_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/922_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/844_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/503_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/753_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/158_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/720_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/520_.jpg",https://sdcimages.s3-us-west-1.amazonaws.com/Images/922_.jpg
983,molestias quia excepturi,Excepturi deleniti debitis sunt.,"Gayleshire, CA",868,3.8,2,1,0.5,112,168,"https://sdcimages.s3-us-west-1.amazonaws.com/Images/41_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/518_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/874_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/947_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/315_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/831_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/445_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/619_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/659_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/15_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/743_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/397_.jpg",https://sdcimages.s3-us-west-1.amazonaws.com/Images/397_.jpg
982,reiciendis mollitia voluptates,Ex quaerat amet odio omnis quae quae ut.,"Port Bernhardton, RI",967,4.4,4,2,1,277,415.5,"https://sdcimages.s3-us-west-1.amazonaws.com/Images/419_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/609_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/141_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/207_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/953_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/76_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/85_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/158_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/106_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/936_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/713_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/674_.jpg",https://sdcimages.s3-us-west-1.amazonaws.com/Images/674_.jpg
981,consequatur facere laudantium,Ut sed quod aspernatur.,"East Candidoview, AR",472,2.6,18,9,4,1214,1821,"https://sdcimages.s3-us-west-1.amazonaws.com/Images/104_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/18_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/173_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/361_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/258_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/167_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/744_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/603_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/740_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/288_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/368_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/347_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/482_.jpg",https://sdcimages.s3-us-west-1.amazonaws.com/Images/288_.jpg
980,et non quia,Facere quam ipsa officiis alias natus.,"Handfurt, AZ",255,2.1,12,6,3,1439,2158.5,"https://sdcimages.s3-us-west-1.amazonaws.com/Images/340_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/976_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/400_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/603_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/491_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/261_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/767_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/518_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/447_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/855_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/310_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/626_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/859_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/819_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/645_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/212_.jpg",https://sdcimages.s3-us-west-1.amazonaws.com/Images/603_.jpg
979,ea hic ut,Non amet dolorem natus nam rem autem voluptatem ea ullam.,"South Kayliton, MN",905,1.8,18,9,3,1171,1756.5,"https://sdcimages.s3-us-west-1.amazonaws.com/Images/248_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/848_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/753_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/394_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/82_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/552_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/19_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/381_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/265_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/48_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/294_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/562_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/306_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/57_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/375_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/744_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/185_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/415_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/554_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/624_.jpg,https://sdcimages.s3-us-west-1.amazonaws.com/Images/769_.jpg",https://sdcimages.s3-us-west-1.amazonaws.com/Images/848_.jpg
